Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 9.550018, 6.329349, 15.534099, 3.383956, 0.813457, 0.135328, 6.103334, 
50, 9.719019, 6.302006, 15.705297, 3.423959, 0.800062, -0.267890, 6.141723, 
50, 9.890832, 6.280712, 15.878425, 3.462563, 0.772064, -0.559959, 6.177539, 
50, 10.065108, 6.265207, 16.053389, 3.499278, 0.734313, -0.755030, 6.210910, 
50, 10.241516, 6.255224, 16.230080, 3.533816, 0.690757, -0.871112, 6.241979, 
50, 10.419755, 6.250490, 16.408382, 3.566038, 0.644426, -0.926617, 6.270902, 
50, 10.607738, 6.250195, 16.596365, 3.759659, 3.872422, 64.559906, 0.003610, 
50, 10.802989, 6.251522, 16.791620, 3.905109, 2.909003, -19.268374, 0.009935, 
50, 10.998433, 6.254060, 16.987080, 3.909207, 0.081975, -56.540560, 0.015988, 
50, 11.194064, 6.257758, 17.182747, 3.913326, 0.082373, 0.007969, 0.021766, 
50, 11.389878, 6.262564, 17.378620, 3.917462, 0.082709, 0.006711, 0.027268, 
50, 11.585871, 6.268427, 17.574700, 3.921611, 0.082988, 0.005572, 0.032494, 
50, 11.782040, 6.275294, 17.770989, 3.925772, 0.083215, 0.004549, 0.037442, 
50, 11.978381, 6.283113, 17.967486, 3.929942, 0.083397, 0.003638, 0.042112, 
50, 12.174894, 6.291830, 18.164192, 3.934119, 0.083539, 0.002834, 0.046504, 
50, 12.371576, 6.301393, 18.361107, 3.938301, 0.083645, 0.002133, 0.050617, 
50, 12.568429, 6.311749, 18.558231, 3.942487, 0.083722, 0.001529, 0.054451, 
50, 12.765450, 6.322844, 18.755565, 3.946676, 0.083773, 0.001016, 0.058006, 
50, 12.962642, 6.334624, 18.953108, 3.950866, 0.083802, 0.000589, 0.061282, 
50, 13.160005, 6.347035, 19.150861, 3.955056, 0.083814, 0.000242, 0.064278, 
50, 13.357541, 6.360024, 19.348823, 3.959247, 0.083813, -0.000031, 0.066994, 
50, 13.555251, 6.373536, 19.546995, 3.963437, 0.083801, -0.000237, 0.069432, 
50, 13.753139, 6.387517, 19.745377, 3.967626, 0.083782, -0.000382, 0.071590, 
50, 13.951208, 6.401913, 19.943967, 3.971814, 0.083758, -0.000472, 0.073469, 
50, 14.149459, 6.416668, 20.142767, 3.976001, 0.083732, -0.000514, 0.075069, 
50, 14.347898, 6.431730, 20.341777, 3.980186, 0.083707, -0.000514, 0.076390, 
50, 14.546527, 6.447041, 20.540995, 3.984370, 0.083683, -0.000478, 0.077432, 
50, 14.745351, 6.462548, 20.740423, 3.988553, 0.083662, -0.000412, 0.078195, 
50, 14.944373, 6.478196, 20.940060, 3.992735, 0.083646, -0.000323, 0.078679, 
50, 15.143599, 6.493928, 21.139905, 3.996917, 0.083635, -0.000217, 0.078885, 
50, 15.343032, 6.509691, 21.339960, 4.001099, 0.083630, -0.000100, 0.078812, 
50, 15.542677, 6.525427, 21.540224, 4.005280, 0.083631, 0.000022, 0.078460, 
50, 15.742538, 6.541082, 21.740698, 4.009462, 0.083638, 0.000141, 0.077829, 
50, 15.942619, 6.556598, 21.941380, 4.013645, 0.083651, 0.000253, 0.076919, 
50, 16.142926, 6.571921, 22.142271, 4.017828, 0.083669, 0.000351, 0.075731, 
50, 16.343461, 6.586994, 22.343372, 4.022013, 0.083690, 0.000429, 0.074263, 
50, 16.544228, 6.601759, 22.544682, 4.026198, 0.083714, 0.000480, 0.072516, 
50, 16.745232, 6.616161, 22.746201, 4.030385, 0.083739, 0.000498, 0.070491, 
50, 16.946476, 6.630142, 22.947930, 4.034574, 0.083763, 0.000477, 0.068186, 
50, 17.147962, 6.643645, 23.149868, 4.038763, 0.083783, 0.000411, 0.065602, 
50, 17.349693, 6.656612, 23.352015, 4.042953, 0.083798, 0.000292, 0.062738, 
50, 17.551672, 6.668987, 23.554373, 4.047143, 0.083804, 0.000116, 0.059595, 
50, 17.753899, 6.680710, 23.756939, 4.051333, 0.083798, -0.000125, 0.056173, 
50, 17.956376, 6.691724, 23.959715, 4.055521, 0.083776, -0.000436, 0.052471, 
50, 18.159102, 6.701971, 24.162701, 4.059708, 0.083735, -0.000824, 0.048490, 
50, 18.362078, 6.711393, 24.365895, 4.063892, 0.083670, -0.001295, 0.044231, 
50, 18.565302, 6.719930, 24.569299, 4.068071, 0.083577, -0.001855, 0.039692, 
50, 18.768773, 6.727525, 24.772911, 4.072243, 0.083452, -0.002509, 0.034876, 
50, 18.972487, 6.734117, 24.976731, 4.076408, 0.083288, -0.003263, 0.029782, 
50, 19.176440, 6.739650, 25.180759, 4.080562, 0.083082, -0.004123, 0.024411, 
50, 19.380627, 6.744063, 25.384995, 4.084703, 0.082828, -0.005092, 0.018764, 
50, 19.585043, 6.747298, 25.589436, 4.088829, 0.082519, -0.006175, 0.012841, 
50, 19.789680, 6.749296, 25.794083, 4.092936, 0.082150, -0.007375, 0.006645, 
50, 19.994530, 6.750000, 25.998934, 4.097022, 0.081715, -0.008697, 0.000176, 
50, 20.163642, 6.753243, 26.168077, 3.382857, -14.283310, -287.300507, 0.041128, 
50, 20.324701, 6.763847, 26.329485, 3.228163, -3.093873, 223.788746, 0.092560, 
50, 20.475617, 6.782491, 26.481549, 3.041272, -3.737814, -12.878835, 0.156441, 
50, 20.612319, 6.809421, 26.620877, 2.786576, -5.093935, -27.122408, 0.237286, 
50, 20.729376, 6.843794, 26.742876, 2.439976, -6.931988, -36.761053, 0.341215, 
50, 20.820691, 6.882687, 26.842129, 1.985063, -9.098273, -43.325700, 0.475446, 
50, 20.882557, 6.920795, 26.914790, 1.453221, -10.636838, -30.771309, 0.645116, 
